#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8
615 1 0 0 0 0 0 0 0 0
616 0 0 0 0 0 0 0 0 0
617 7 0 0 0 0 0 0 0 0
618 2 0 0 0 0 0 0 0 0
619 3 0 0 0 0 0 0 0 0
620 1 0 0 0 0 0 0 0 0
621 0 0 0 0 0 0 0 0 0
622 2 0 0 0 0 0 0 0 0
623 3 0 0 0 0 0 0 0 0
624 0 0 0 0 0 0 0 0 0
625 0 0 0 0 0 0 0 0 0
626 4 0 0 0 0 0 0 0 0
627 7 0 0 0 0 0 0 0 0
628 3 0 0 0 0 0 0 0 0
629 2 0 0 0 0 0 0 0 0
630 2 0 0 0 0 0 0 0 0
631 2 0 0 0 0 0 0 0 0
632 8 0 0 0 0 0 0 0 0
633 0 0 0 0 0 0 0 0 0
634 0 0 0 0 0 0 0 0 0
635 0 0 0 0 0 0 0 0 0
636 1 0 0 0 0 0 0 0 0
637 0 0 0 0 0 0 0 0 0
638 0 0 0 0 0 0 0 0 0
639 3 0 0 0 0 0 0 0 0
640 0 0 0 0 0 0 0 0 0
641 5 0 0 0 0 0 0 0 0
642 4 0 0 0 0 0 0 0 0
643 0 0 0 0 0 0 0 0 0
644 4 0 0 0 0 0 0 0 0
645 4 0 0 0 0 0 0 0 0
646 6 0 0 0 0 0 0 0 0
647 0 0 0 0 0 0 0 0 0
648 2 0 0 0 0 0 0 0 0
649 2 0 0 0 0 0 0 0 0
650 1 0 0 0 0 0 0 0 0
651 3 0 0 0 0 0 0 0 0
652 0 0 0 0 0 0 0 0 0
653 2 0 0 0 0 0 0 0 0
654 4 0 0 0 0 0 0 0 0
655 0 0 0 0 0 0 0 0 0
656 1 0 0 0 0 0 0 0 0
657 1 0 0 0 0 0 0 0 0
658 2 0 0 0 0 0 0 0 0
659 0 0 0 0 0 0 0 0 0
660 4 0 0 0 0 0 0 0 0
661 0 0 0 0 0 0 0 0 0
662 0 0 0 0 0 0 0 0 0
663 0 0 0 0 0 0 0 0 0
664 1 0 0 0 0 0 0 0 0
665 1 0 0 0 0 0 0 0 0
666 1 0 0 0 0 0 0 0 0
667 0 0 0 0 0 0 0 0 0
668 0 0 0 0 0 0 0 0 0
669 0 0 0 0 0 0 0 0 0
670 2 0 0 0 0 0 0 0 0
671 1 0 0 0 0 0 0 0 0
672 0 0 0 0 0 0 0 0 0
673 6 0 0 0 0 0 0 0 0
674 2 0 0 0 0 0 0 0 0
675 1 0 0 0 0 0 0 0 0
676 2 0 0 0 0 0 0 0 0
677 1 0 0 0 0 0 0 0 0
678 3 0 0 0 0 0 0 0 0
679 2 0 0 0 0 0 0 0 0
680 1 0 0 0 0 0 0 0 0
681 0 0 0 0 0 0 0 0 0
682 0 0 0 0 0 0 0 0 0
683 1 0 0 0 0 0 0 0 0
684 4 0 0 0 0 0 0 0 0
